credit_score,country,gender,age,tenure,balance,products_number,active_member,estimated_salary,churn,age_zscore,age_risk,age_bin,churn_risk_score,product_intensity,balance_log,low_balance_flag,financial_capacity,inactive_flag,country_inactive_risk,product_stress,balance_salary_ratio
619,France,Female,42,2,0.0,1,1,101348.88,1,0.29350274665868764,0.08614386229619378,2,0.9565217391304348,0.6931471805599453,0.0,0,-30404.664,0,France_0,1,0.0
608,Spain,Female,41,1,83807.86,1,1,112542.58,0,0.19815392375611882,0.03926497749994575,2,1.2796823212523583,0.6931471805599453,11.336294008805,0,50045.086,0,Spain_0,1,0.8373146351233179
502,France,Female,42,8,159660.8,3,0,113931.57,1,0.29350274665868764,0.08614386229619378,2,1.3428763787586613,1.3862943611198906,11.980813107093399,0,125481.329,1,France_1,1,1.5951525846799695
699,France,Female,39,1,0.0,2,0,93826.63,0,0.007456277950981121,5.5596080882287224e-05,2,0.7572463768115942,1.0986122886681098,0.0,0,-28147.989,1,France_1,1,0.0
850,Spain,Female,43,2,125510.82,1,1,79084.1,0,0.3888515695612565,0.1512055431502527,2,1.467635526038706,0.6931471805599453,11.740155216385942,0,101785.59000000001,0,Spain_0,1,1.2539640846613722
645,Spain,Male,44,8,113755.78,2,0,149756.71,1,0.48420039246382535,0.23445002006212248,2,1.2649867600417433,1.0986122886681098,11.64181793943253,0,68828.76699999999,1,Spain_1,1,1.1365208397382827
822,France,Male,50,7,0.0,2,1,10062.8,0,1.0562933298792385,1.1157555987473697,3,0.8768115942028984,1.0986122886681098,0.0,0,-3018.8399999999997,0,France_0,1,0.0
376,Germany,Female,29,4,115046.74,4,0,119346.88,1,-0.9460319510747073,0.8949764524542173,0,0.9737552839686856,1.6094379124341003,11.65310245163737,0,79242.676,1,Germany_1,1,1.1494186717716837
501,France,Male,44,4,142051.07,2,1,74940.5,0,0.48420039246382535,0.23445002006212248,2,1.377762338462534,1.0986122886681098,11.863948959509845,0,119568.92000000001,0,France_0,1,1.4192158091845668
684,France,Male,27,2,134603.88,1,1,71725.73,0,-1.136729596879845,1.292154176422615,0,1.3299643836370891,0.6931471805599453,11.810098951107612,0,113086.16100000001,0,France_0,1,1.3448117953182777
